Detected id,Detected size,Truth id,Truth size,Precision,intersect
1,543,1,543,1.000000,543
2,262,2,262,1.000000,262
3,187,3,187,1.000000,187
4,149,4,149,1.000000,149
5,134,5,134,1.000000,134
6,96,6,96,1.000000,96
7,89,8,84,0.943820,84
8,86,7,86,1.000000,86
9,85,9,83,0.976471,83
10,76,11,72,0.947368,72
11,75,10,73,0.973333,73
12,33,12,33,1.000000,33
13,26,13,26,1.000000,26
14,25,14,25,1.000000,25
15,25,15,25,1.000000,25
16,24,16,24,1.000000,24
17,21,17,21,1.000000,21
18,20,20,18,0.900000,18
19,19,18,19,1.000000,19
20,19,19,19,1.000000,19
21,17,21,17,1.000000,17
22,17,26,13,0.764706,13
23,16,33,10,0.625000,10
24,14,22,14,1.000000,14
25,14,23,14,1.000000,14
26,13,24,13,1.000000,13
27,13,25,13,1.000000,13
28,13,31,11,0.846154,11
29,12,27,12,1.000000,12
30,12,28,12,1.000000,12
31,12,29,12,1.000000,12
32,12,30,12,1.000000,12
33,10,32,10,1.000000,10
34,9,34,9,1.000000,9
35,9,35,9,1.000000,9
36,9,36,9,1.000000,9
37,9,37,9,1.000000,9
38,9,38,9,1.000000,9
39,9,39,9,1.000000,9
40,9,40,9,1.000000,9
41,9,41,9,1.000000,9
42,9,42,9,1.000000,9
43,9,43,9,1.000000,9
44,9,44,9,1.000000,9
45,9,45,9,1.000000,9
46,9,46,9,1.000000,9
47,9,47,9,1.000000,9
48,9,48,9,1.000000,9
49,8,49,8,1.000000,8
50,8,50,8,1.000000,8
51,8,51,8,1.000000,8
52,8,52,8,1.000000,8
53,8,53,8,1.000000,8
54,8,54,8,1.000000,8
55,8,55,8,1.000000,8
56,8,56,8,1.000000,8
57,8,57,8,1.000000,8
58,7,58,7,1.000000,7
59,7,59,7,1.000000,7
60,7,60,7,1.000000,7
61,7,61,7,1.000000,7
62,7,62,7,1.000000,7
63,7,63,7,1.000000,7
64,7,64,7,1.000000,7
65,7,65,7,1.000000,7
66,7,66,7,1.000000,7
67,7,67,7,1.000000,7
68,7,68,7,1.000000,7
69,7,69,7,1.000000,7
70,7,70,7,1.000000,7
71,7,71,7,1.000000,7
72,7,72,7,1.000000,7
73,7,73,7,1.000000,7
74,6,74,6,1.000000,6
75,6,75,6,1.000000,6
76,6,76,6,1.000000,6
77,6,77,6,1.000000,6
78,6,78,6,1.000000,6
79,6,79,6,1.000000,6
80,6,81,6,1.000000,6
81,6,82,6,1.000000,6
82,6,83,6,1.000000,6
83,6,84,6,1.000000,6
84,6,85,6,1.000000,6
85,6,86,6,1.000000,6
86,6,87,6,1.000000,6
87,6,88,6,1.000000,6
88,6,89,6,1.000000,6
89,6,90,6,1.000000,6
90,6,91,6,1.000000,6
91,6,92,6,1.000000,6
92,6,93,6,1.000000,6
93,5,94,5,1.000000,5
94,5,95,5,1.000000,5
95,5,96,5,1.000000,5
96,5,97,5,1.000000,5
97,5,98,5,1.000000,5
98,5,99,5,1.000000,5
99,5,100,5,1.000000,5
100,5,101,5,1.000000,5
101,5,102,5,1.000000,5
102,5,103,5,1.000000,5
103,5,104,5,1.000000,5
104,5,105,5,1.000000,5
105,5,106,5,1.000000,5
106,5,107,5,1.000000,5
107,5,108,5,1.000000,5
108,5,109,5,1.000000,5
109,5,110,5,1.000000,5
110,5,111,5,1.000000,5
111,5,112,5,1.000000,5
112,5,113,5,1.000000,5
113,4,114,4,1.000000,4
114,4,115,4,1.000000,4
115,4,116,4,1.000000,4
116,4,118,4,1.000000,4
117,4,119,4,1.000000,4
118,4,120,4,1.000000,4
119,4,121,4,1.000000,4
120,4,122,4,1.000000,4
121,4,123,4,1.000000,4
122,4,124,4,1.000000,4
123,4,125,4,1.000000,4
124,4,126,4,1.000000,4
125,4,127,4,1.000000,4
126,4,128,4,1.000000,4
127,4,129,4,1.000000,4
128,4,130,4,1.000000,4
129,4,131,4,1.000000,4
130,4,132,4,1.000000,4
131,3,133,3,1.000000,3
132,3,134,3,1.000000,3
133,3,135,3,1.000000,3
134,3,136,3,1.000000,3
135,3,137,3,1.000000,3
136,3,138,3,1.000000,3
137,3,139,3,1.000000,3
138,3,140,3,1.000000,3
139,3,141,3,1.000000,3
140,3,142,3,1.000000,3
141,3,144,3,1.000000,3
142,3,145,3,1.000000,3
143,3,146,3,1.000000,3
144,3,147,3,1.000000,3
145,3,148,3,1.000000,3
146,3,149,3,1.000000,3
147,3,150,3,1.000000,3
148,3,151,3,1.000000,3
149,3,152,3,1.000000,3
150,3,153,3,1.000000,3
Weighted Average,0.990473
Average,0.993179
